timestamp,ax,ay,az,gx,gy,gz,etiqueta
1778854720046,-0.00001961737871170044,0.030112743377685547,0.0628976821899414,-0.11238539963960648,-0.01810949668288231,0.1581917703151703,CAMINAR
1778854720055,0.019133999943733215,0.0013823509216308594,-0.06638908386230469,-0.11238539963960648,-0.01810949668288231,0.1581917703151703,CAMINAR
1778854720062,-0.02332373708486557,0.003192901611328125,-0.11671638488769531,-0.11238539963960648,-0.01810949668288231,0.1581917703151703,CAMINAR
1778854720071,0.006918109953403473,-0.007603645324707031,-0.14153099060058594,-0.06551376730203629,-0.037816889584064484,0.15233281254768372,CAMINAR
1778854720078,0.06820376962423325,-0.038530826568603516,-0.17776966094970703,-0.06551376730203629,-0.037816889584064484,0.15233281254768372,CAMINAR
1778854720088,0.1529170572757721,-0.09687662124633789,-0.23628711700439453,-0.0511326938867569,-0.04687163606286049,0.12197277694940567,CAMINAR
1778854720094,0.21121376752853394,-0.16360235214233398,-0.26995182037353516,-0.0511326938867569,-0.04687163606286049,0.12197277694940567,CAMINAR
1778854720104,0.21800270676612854,-0.21104669570922852,-0.2842378616333008,-0.0511326938867569,-0.04687163606286049,0.12197277694940567,CAMINAR
1778854720111,0.1788281947374344,-0.25305938720703125,-0.2865724563598633,-0.09001484513282776,-0.02183792181313038,0.07084008306264877,CAMINAR
1778854720121,0.13132555782794952,-0.28077220916748047,-0.2622842788696289,-0.09001484513282776,-0.02183792181313038,0.07084008306264877,CAMINAR
1778854720128,0.12709054350852966,-0.28878140449523926,-0.2368488311767578,-0.18269285559654236,-0.07350324839353561,0.05379585549235344,CAMINAR
1778854720136,0.1613895744085312,-0.2819826602935791,-0.23059463500976562,-0.18269285559654236,-0.07350324839353561,0.05379585549235344,CAMINAR
1778854720144,0.22976912558078766,-0.27491116523742676,-0.2097787857055664,-0.18269285559654236,-0.07350324839353561,0.05379585549235344,CAMINAR
1778854720155,0.2595585584640503,-0.2306373119354248,-0.21950149536132812,-0.30360037088394165,-0.1768338978290558,0.06285060197114944,CAMINAR
1778854720160,0.20938773453235626,-0.18025493621826172,-0.19544696807861328,-0.30360037088394165,-0.1768338978290558,0.06285060197114944,CAMINAR
1778854720172,0.14681510627269745,-0.139143705368042,-0.10699272155761719,-0.4229099750518799,-0.22796659171581268,0.08735168725252151,CAMINAR
1778854720176,0.07761618494987488,-0.08635401725769043,0.019621849060058594,-0.4229099750518799,-0.22796659171581268,0.08735168725252151,CAMINAR
1778854720187,0.025627046823501587,-0.04462599754333496,0.11691570281982422,-0.4229099750518799,-0.22796659171581268,0.08735168725252151,CAMINAR
1778854720193,0.04116028547286987,-0.02072453498840332,0.1525115966796875,-0.47510793805122375,-0.21092236042022705,0.10013485699892044,CAMINAR
1778854720203,0.03858807682991028,-0.03631234169006348,0.1660165786743164,-0.47510793805122375,-0.21092236042022705,0.10013485699892044,CAMINAR
1778854720210,0.04368305206298828,-0.05324196815490723,0.10492420196533203,-0.449008971452713,-0.0649811327457428,0.08628641813993454,CAMINAR
1778854720220,0.050598859786987305,-0.06461572647094727,-0.0011997222900390625,-0.449008971452713,-0.0649811327457428,0.08628641813993454,CAMINAR
