timestamp,ax,ay,az,gx,gy,gz,etiqueta
1778859057481,-0.17735373973846436,0.21476960182189941,1.1366748809814453,0.3419498801231384,-0.7685883045196533,-1.7816548347473145,NORMAL
1778859057491,-0.19650733470916748,0.26983642578125,0.9092254638671875,0.4809668958187103,-0.7286409139633179,-1.7907094955444336,NORMAL
1778859057492,-0.031395912170410156,0.23613834381103516,0.5891046524047852,0.4809668958187103,-0.7286409139633179,-1.7907094955444336,NORMAL
1778859057501,0.22813963890075684,0.14862358570098877,0.2889575958251953,0.4809668958187103,-0.7286409139633179,-1.7907094955444336,NORMAL
1778859057507,0.3310546875,0.04797029495239258,0.1078033447265625,0.5060006380081177,-0.670583963394165,-1.7955032587051392,NORMAL
1778859057516,0.24229228496551514,0.027193188667297363,0.026968002319335938,0.5060006380081177,-0.670583963394165,-1.7955032587051392,NORMAL
1778859057524,-0.01551210880279541,0.09096372127532959,0.014805793762207031,0.4362258017063141,-0.7510114312171936,-1.8093516826629639,NORMAL
1778859057535,-0.3416130542755127,0.17259275913238525,0.014726638793945312,0.4362258017063141,-0.7510114312171936,-1.8093516826629639,NORMAL
1778859057540,-0.5016108751296997,0.2109445333480835,0.03821086883544922,0.4362258017063141,-0.7510114312171936,-1.8093516826629639,NORMAL
1778859057548,-0.5507975816726685,0.31094038486480713,0.07784366607666016,0.38722363114356995,-0.8958874344825745,-1.729456901550293,NORMAL
1778859057556,-0.5409348011016846,0.40233445167541504,0.13685226440429688,0.38722363114356995,-0.8958874344825745,-1.729456901550293,NORMAL
1778859057564,-0.46697354316711426,0.4501953125,0.1884145736694336,0.3792341351509094,-0.9859022498130798,-1.646898865699768,NORMAL
1778859057572,-0.3531980514526367,0.4156532287597656,0.2431621551513672,0.3792341351509094,-0.9859022498130798,-1.646898865699768,NORMAL
1778859057580,-0.23531889915466309,0.375075101852417,0.2697134017944336,0.3792341351509094,-0.9859022498130798,-1.646898865699768,NORMAL
1778859057589,-0.09738826751708984,0.3460390567779541,0.21115398406982422,0.4181163012981415,-0.9960222840309143,-1.6128103733062744,NORMAL
1778859057596,0.028110623359680176,0.3209984302520752,0.09986209869384766,0.4181163012981415,-0.9960222840309143,-1.6128103733062744,NORMAL
1778859057605,0.08562159538269043,0.3607797622680664,-0.00759124755859375,0.45113950967788696,-0.9177253246307373,-1.6309199333190918,NORMAL
1778859057613,0.07590997219085693,0.37701988220214844,-0.053343772888183594,0.45113950967788696,-0.9177253246307373,-1.6309199333190918,NORMAL
1778859057622,0.02811884880065918,0.36270713806152344,-0.1634511947631836,0.45113950967788696,-0.9177253246307373,-1.6309199333190918,NORMAL
1778859057629,0.00537419319152832,0.29402709007263184,-0.16513633728027344,0.38722363114356995,-0.8596684336662292,-1.6389093399047852,NORMAL
1778859057638,-0.0003676414489746094,0.18550968170166016,-0.09468650817871094,0.38722363114356995,-0.8596684336662292,-1.6389093399047852,NORMAL
1778859057646,0.05973970890045166,0.12175536155700684,0.10307884216308594,0.29348036646842957,-0.7653924822807312,-1.6213325262069702,NORMAL
1778859057655,0.16145610809326172,0.09852027893066406,0.31123924255371094,0.29348036646842957,-0.7653924822807312,-1.6213325262069702,NORMAL
1778859057662,0.21346521377563477,0.0905909538269043,0.3613605499267578,0.29348036646842957,-0.7653924822807312,-1.6213325262069702,NORMAL
1778859057671,0.21789944171905518,0.09671640396118164,0.2459392547607422,0.27590349316596985,-0.7222493290901184,-1.6415724754333496,NORMAL
1778859057678,0.1368926763534546,0.1051626205444336,0.056682586669921875,0.27590349316596985,-0.7222493290901184,-1.6415724754333496,NORMAL
1778859057687,0.0001914501190185547,0.24711275100708008,-0.19458770751953125,0.2785666584968567,-0.6854977011680603,-1.6532903909683228,NORMAL
1778859057695,-0.11498260498046875,0.39472246170043945,-0.3836355209350586,0.2785666584968567,-0.6854977011680603,-1.6532903909683228,NORMAL
1778859057703,-0.3867436647415161,0.15522193908691406,-0.661259651184082,0.2785666584968567,-0.6854977011680603,-1.6532903909683228,NORMAL
1778859057711,-0.6447970867156982,0.22649526596069336,-0.8689699172973633,0.24820661544799805,-0.6572681665420532,-1.5872440338134766,NORMAL
1778859057719,-0.7840583324432373,0.3020336627960205,-0.9782981872558594,0.24820661544799805,-0.6572681665420532,-1.5872440338134766,NORMAL
1778859057729,-0.6965072154998779,0.20575213432312012,-0.9758691787719727,0.26152241230010986,-0.45167213678359985,-1.423193335533142,NORMAL
1778859057736,-0.4584841728210449,0.06674003601074219,-0.8695030212402344,0.26152241230010986,-0.45167213678359985,-1.423193335533142,NORMAL
1778859057744,0.0009481906890869141,-0.18013596534729004,-0.5912714004516602,0.26152241230010986,-0.45167213678359985,-1.423193335533142,NORMAL
1778859057752,0.22144031524658203,-0.19076228141784668,-0.42493247985839844,0.3627225458621979,-0.35526570677757263,-1.3049489259719849,NORMAL
1778859057760,0.3546067476272583,-0.24509906768798828,-0.38182926177978516,0.3627225458621979,-0.35526570677757263,-1.3049489259719849,NORMAL
1778859057769,0.4216175079345703,-0.28339600563049316,-0.4201469421386719,0.5054680109024048,-0.39254996180534363,-1.3076120615005493,NORMAL
1778859057777,0.32951629161834717,-0.32630372047424316,-0.6728248596191406,0.5054680109024048,-0.39254996180534363,-1.3076120615005493,NORMAL
1778859057788,0.226515531539917,-0.2735896110534668,-0.8931179046630859,0.5054680109024048,-0.39254996180534363,-1.3076120615005493,NORMAL
1778859057793,0.08882617950439453,-0.14331674575805664,-1.0591974258422852,0.5209143161773682,-0.4681837260723114,-1.2820457220077515,NORMAL
1778859057802,-0.05482220649719238,0.002729654312133789,-1.1262331008911133,0.5209143161773682,-0.4681837260723114,-1.2820457220077515,NORMAL
